,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,mall_name,mall_country,mall_id,total_mall_area,store_name,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,service_charges_r12m,marketing_costs_r12m,real_estate_taxes_r12m,maintenance_works_r12m
24,12,2929,187.40641873445367,120.0,4700.0,10565.5,1675128.88,410.31,65053.55,84524,13401031,206,Westfield Forum Des Halles,France,19.0,74438.4,store_1951,19/11/2022,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Ties, Scarfs, Hats, Belts, Gloves ...",2519721.0,106922.0,56.0,113943.0,0.0,9285.0,3221.0
25,32,11474,1477.002457002457,360.0,12131.0,9248.0,1039015.33,348.98,39208.13,55488,6234092,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4242,13/09/2011,2099-01-01 00:00:00,Food & Beverage Services,Gourmet Food Products,Chocolate,4484959.0,472727.0,65.2,-272.0,0.0,8095.0,400.0
26,32,13578,551.5095913261051,240.0,12175.0,10994.33,2454128.5,417.51,93194.75,65966,14724771,158,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4535,08/12/2016,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,15054456.0,57600.0,244.61,15293.0,1063.0,6959.5,8741.5
31,26,6541,277.2368722770007,180.0,11161.0,8060.38,471406.08,286.3,16743.93,104785,6128279,366,Westfield La Maquinista,Spain,64.0,73650.1,store_4106,04/04/2013,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,451777.0,258131.0,137.0,107995.0,0.0,31496.0,12770.0
34,7,9,2845.932990416035,1200.0,5957.0,27371.56,770472.22,985.38,27737.0,246344,6934250,250,Westfield Vélizy 2,France,14.0,104280.1,store_334,23/11/2013,2099-01-01 00:00:00,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,3069058.0,173460.0,201.0,38225.0,3935.0,10991.0,859.0
44,36,1078,358.33903143359777,240.0,7241.0,11910.25,207663.0,491.14,8563.42,47641,830652,97,Westfield CentrO,Germany,35.0,139180.0,store_217,21/08/2021,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,2946411.26,250392.0,344.0,21528.0,1499.0,10222.0,5966.0
45,32,11563,2258.806529301579,2400.0,12212.0,12137.67,448127.0,458.03,16910.45,72826,2688762,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_1527,26/07/2013,2099-01-01 00:00:00,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,137148.0,527400.0,125.26,7527.0,0.0,6959.5,8741.5
47,36,1127,510.4177769539125,180.0,7177.0,23440.25,695132.0,966.61,28665.24,93761,2780528,97,Westfield CentrO,Germany,35.0,139180.0,store_913,22/12/2016,2099-01-01 00:00:00,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,349419.0,103139.0,260.0,96287.0,0.0,10222.0,5966.0
48,36,13815,709.714049429053,360.0,7157.0,46303.75,792953.5,1909.43,32699.11,185215,3171814,97,Westfield CentrO,Germany,35.0,139180.0,store_2578,27/09/2012,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,1028841.0,3650122.0,2556.0,21528.0,25207.0,10222.0,5966.0
50,30,7389,349.7413664224847,180.0,1713.0,3142.91,733692.64,117.99,27544.77,34572,8070619,293,Westfield Arkadia,Poland,6.0,77325.5,store_364,17/09/2014,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,807312.0,78732.0,43.0,41317.0,8564.0,13818.0,4137.0
51,13,7674,989.1296848712764,360.0,82.0,29557.0,248471.2,1082.67,9101.51,295570,2484712,273,Westfield Donau Zentrum,Austria,0.0,108440.8,store_79,02/07/2012,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,2114704.0,151119.0,11531.14,7747.0,12380.0,486.0,265.0
53,10,4586,330.3743590944209,180.0,1408.0,6723.77,782942.85,238.82,27809.45,87409,10178257,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_762,28/01/2022,2099-01-01 00:00:00,Gifts,Themed Gift,Themed gift,2460542.0,8164297.0,57.8,19114.0,0.0,26925.0,92700.0
56,25,6345,789.9025093468697,540.0,11538.0,98698.69,448851.92,3505.69,15942.83,1283083,5835075,366,Westfield Parquesur,Spain,61.0,91858.1,store_436,05/10/2021,2099-01-01 00:00:00,Culture & Media & Technology,Electronics and household appliances,Multibrand electronics,7589446.05,236793.0,3199.0,11153.0,13525.0,18402.0,33275.5
57,26,6532,2769.2412746585737,1680.0,11284.0,9966.85,252366.38,354.01,8963.83,129569,3280763,366,Westfield La Maquinista,Spain,64.0,73650.1,store_4128,29/05/2021,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Brasseries & Local Kitchen,1831041.0,1598075.0,541.0,2198.0,3759.0,12232.5,87634.0
64,23,5936,722.1232544896693,300.0,10312.0,63293.46,707119.15,2248.13,25116.25,822815,9192549,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_625,01/12/2023,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,5065342.0,315801.0,1228.0,21337.0,0.0,6124.0,3310.0
65,23,5936,722.1232544896693,300.0,10110.0,63293.46,707119.15,2248.13,25116.25,822815,9192549,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_625,29/08/2013,30/11/2023,Fashion apparel,Family Fashion,Family Fashion,1062094.0,77271.0,0.0,266609.0,0.0,9972.0,3310.0
66,33,6931,289.9478070774696,180.0,2228.0,4912.73,218253.82,169.94,7549.66,54040,2400792,318,Westfield Mokotow,Poland,5.0,65330.2,store_829,16/11/2023,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,58546.73,522573.0,279.1,71457.0,0.0,12005.0,27072.0
69,13,7599,375.72710951526034,240.0,215.0,14078.8,1271862.1,508.26,45915.6,140788,12718621,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_201,08/02/2020,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,7077068.0,64229.0,103.0,19092.0,14385.0,16110.0,1922.0
71,19,7167,287.07418727424283,240.0,746.0,2817.2,327245.4,107.53,12490.28,14086,1636227,131,Westfield Shopping City Süd,Austria,1.0,120306.9,store_297,04/09/2024,2099-01-01 00:00:00,Health & Beauty,Others,Vitamines and Sports Nutrition,4019199.0,110843.0,131.0,511.0,0.0,6934.0,307.0
72,19,7167,287.07418727424283,240.0,746.0,1414.0,74491.0,282.8,14898.2,1414,74491,5,Westfield Shopping City Süd,Austria,1.0,120306.9,store_297,04/09/2024,2099-01-01 00:00:00,Health & Beauty,Others,Vitamines and Sports Nutrition,4019199.0,110843.0,131.0,511.0,0.0,6934.0,307.0
75,28,5762,637.1062742586809,480.0,9906.0,44173.46,1182844.0,1569.0,42013.58,574255,15376972,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3474,12/11/2015,2099-01-01 00:00:00,Home,"DIY, gardening",Do It Yourself and others materials,405378.0,237261.0,1428.0,163840.0,0.0,11717.0,19952.0
76,33,6741,606.3849445963867,360.0,2152.0,76698.18,420008.55,2653.08,14528.6,843680,4620094,318,Westfield Mokotow,Poland,5.0,65330.2,store_884,23/04/2021,2099-01-01 00:00:00,Health & Beauty,Parapharmacy,Parapharmacy,1952903.0,138630.0,646.31,5407.0,0.0,514.0,20698.0
77,12,2909,794.129293259506,240.0,4721.0,26669.92,1569777.77,947.29,55757.13,346709,20407111,366,Westfield Forum Des Halles,France,19.0,74438.4,store_1956,20/09/2023,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,894516.0,323134.0,90.0,17371.0,6374.0,35140.0,3221.0
78,22,6657,1149.1514662062436,960.0,4398.0,7881.08,571966.58,278.16,20187.06,94573,6863599,340,Westfield Euralille,France,26.0,58389.7,store_1899,01/07/2011,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Italian - Fast Meal,348750.0,90215.0,94.0,5580.0,0.0,17866.0,2748.0
80,13,7676,232.5922620944611,120.0,344.0,2885.44,783129.0,107.76,29245.48,25969,7048161,241,Westfield Donau Zentrum,Austria,0.0,108440.8,store_291,17/05/2024,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,1173570.0,1499492.0,236.0,22578.0,0.0,5223.0,2351.0
81,23,5989,278.011330979555,180.0,10289.0,5247.0,256645.85,186.37,9115.84,68211,3336396,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3680,27/09/2022,2099-01-01 00:00:00,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,973320.0,1943746.0,117.0,506.0,0.0,6906.0,3310.0
85,22,6646,727.0472792149866,180.0,4369.0,12392.25,959987.17,436.09,33782.54,148707,11519846,341,Westfield Euralille,France,26.0,58389.7,store_1480,21/09/1994,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,1081791.0,103820.0,176.0,17371.0,1914.0,17866.0,2748.0
86,24,2265,803.368760327782,600.0,11033.0,118002.15,690803.62,4191.33,24536.74,1534028,8980447,366,Westfield Glòries,Spain,62.0,35087.8,store_63,09/11/2017,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,333430.0,426672.0,2930.87,22588.0,6555.0,13474.0,8032.5
87,32,11467,2411.2914285714287,1560.0,12381.0,6578.67,1038983.17,248.25,39206.91,39472,6233899,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4592,20/02/2023,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Sandwiches,1229514.0,263697.0,35.49,16030.0,0.0,547.0,8741.5
89,13,7628,564.0352633083996,420.0,302.0,45428.6,354445.5,1640.02,12795.87,454286,3544455,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_11,18/08/2022,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,517752.0,99960.0,723.0,16873.0,0.0,13029.0,2351.0
90,10,4482,286.9525169582292,120.0,1466.0,4372.31,212359.38,155.3,7542.82,56840,2760672,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_396,14/11/2023,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,759906.0,172550.0,170.1,9404.0,1772.0,2673.0,3841.0
92,22,6677,2710.1703048551,1680.0,4384.0,5812.5,851042.33,205.15,30036.79,69750,10212508,340,Westfield Euralille,France,26.0,58389.7,store_87,07/02/2007,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Sandwiches,42654837.8,187484.0,92.0,12874.0,9930.0,113022.0,2748.0
95,33,6929,3430.173134328358,1620.0,2102.0,4490.4,426894.8,161.53,15355.93,44904,4268948,278,Westfield Mokotow,Poland,5.0,65330.2,store_933,16/10/2018,03/02/2024,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,768734.0,39026.0,0.0,20312.5,4082.0,171980.0,1167.0
97,13,7695,447.57317465422966,240.0,20.0,2398.0,375164.1,87.2,13642.33,23980,3751641,275,Westfield Donau Zentrum,Austria,0.0,108440.8,store_20,01/04/2010,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,65581390.0,437851.0,36.0,496.0,0.0,13029.0,2351.0
98,19,7087,790.5903760614638,240.0,699.0,932.91,49083.91,35.14,1849.05,10262,539923,292,Westfield Shopping City Süd,Austria,1.0,120306.9,store_445,12/04/2023,2099-01-01 00:00:00,Health & Beauty,Health Services,Health Services,136256.0,137933.0,171.0,16873.0,5638.0,6934.0,1693.0
103,10,4554,275.25131331474154,180.0,1331.0,4197.77,181628.46,149.1,6451.28,54571,2361170,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_637,01/11/2018,2099-01-01 00:00:00,Health & Beauty,Others,Vitamines and Sports Nutrition,450336.37,615976.0,34.0,111.0,0.0,8295.0,2588.0
104,32,11479,212.3134523291249,120.0,12313.0,15869.0,1311499.33,598.83,49490.54,95214,7868996,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4261,20/09/2019,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",802898.0,52917.0,134.76,1130.0,0.0,1379.0,8741.5
107,18,11149,1679.0426716141,300.0,9327.0,1627.75,461776.0,84.56,23988.36,6511,1847104,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3181,15/01/2021,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,844944.0,404470.0,187.0,4996.0,5841.0,115453.0,369.0
109,17,4417,369.177554829678,180.0,5711.0,7365.46,464555.77,261.61,16500.61,95751,6039225,366,Westfield Rosny 2,France,15.0,98221.7,store_1436,25/03/2011,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,1025858.0,10735.0,141.0,17371.0,0.0,20478.5,2278.0
111,25,6330,2000.010917030568,1140.0,11542.0,1276.46,389289.54,45.34,13827.22,16594,5060764,366,Westfield Parquesur,Spain,61.0,91858.1,store_2023,02/12/2021,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,1748927.0,600873.0,583.59,18445.5,4751.0,18402.0,81962.0
114,24,2311,1480.216101319635,1260.0,10960.0,10483.92,173110.31,372.38,6148.73,136291,2250434,366,Westfield Glòries,Spain,62.0,35087.8,store_3847,18/09/2014,2099-01-01 00:00:00,Food & Beverage Services,Gourmet Food Products,"Butcher, delicatessen",3113955.75,20772.0,159.11,44340.0,19875.0,13474.0,8032.5
115,7,4833,1522.924969675966,1080.0,5886.0,2433.67,311084.56,87.96,11244.02,21903,2799761,249,Westfield Vélizy 2,France,14.0,104280.1,store_2035,01/01/1996,2099-01-01 00:00:00,Health & Beauty,Hair & Body,Hairdressers,5297913.0,182061.0,149.0,7733.0,6007.0,1131.0,21775.0
120,7,4811,397.4123790714023,180.0,5918.0,5650.67,603563.89,203.42,21728.3,50856,5432075,250,Westfield Vélizy 2,France,14.0,104280.1,store_1726,10/04/2006,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,1472191.0,141645.0,98.0,17371.0,7881.0,30056.0,37594.0
121,19,7128,598.4105909925888,240.0,726.0,16987.55,641454.09,637.76,24081.89,186863,7055995,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_280,18/11/2023,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",1090528.0,348686.0,58.0,16873.0,0.0,4406.0,1693.0
122,14,4957,1650.2518308836195,1320.0,4877.0,48495.62,936238.92,1722.52,33254.39,630443,12171106,366,Westfield La Part Dieu,France,17.0,141267.4,store_7,18/12/2014,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,945393.0,772859.0,639.0,17371.0,0.0,112771.0,82317.0
124,33,6751,668.8498434131607,480.0,2048.0,51148.82,416413.91,1769.3,14404.25,562637,4580553,318,Westfield Mokotow,Poland,5.0,65330.2,store_936,31/03/2016,2099-01-01 00:00:00,Gifts,Toys,Toys,356644.0,59506.0,1017.23,1279.0,2426.0,12005.0,21867.5
125,17,4351,538.9370559104285,120.0,5676.0,35421.54,865842.77,1258.14,30753.98,460480,11255956,366,Westfield Rosny 2,France,15.0,98221.7,store_2034,01/07/1995,2099-01-01 00:00:00,Other,"Tobbaconists, lotteries and other activities","Tobbaconists, lotteries and other activities",2378219.0,1062.0,76.0,17371.0,5951.0,20478.5,2278.0
126,24,2256,529.8376412521106,180.0,11089.0,4949.08,360688.0,188.12,13710.36,64338,4688944,342,Westfield Glòries,Spain,62.0,35087.8,store_803,01/06/2024,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",28011242.91,404944.0,142.46,89606.0,0.0,6320.0,8032.5
128,32,12036,1295.5950653120465,420.0,12392.0,7399.83,1267055.5,279.24,47813.42,44399,7602333,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4594,02/06/2023,2099-01-01 00:00:00,Luxury,Luxury Jewellery,Luxury Jewellery,223678.0,97162.0,421.63,16030.0,0.0,25187.0,8741.5
129,10,4497,482.3353293413174,180.0,1306.0,2493.08,423806.08,88.55,15053.22,32410,5509479,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_712,11/10/2017,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,3156827.0,184602.0,169.5,20901.0,21551.0,85679.0,3841.0
130,23,5920,422.40549734657776,300.0,10055.0,30901.31,242201.23,1097.59,8602.78,401717,3148616,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3479,01/01/2010,2099-01-01 00:00:00,Culture & Media & Technology,"Books, Music & Multimedia",Bookstore & stationery,116299.0,2378467.0,412.0,2257.0,4844.0,9972.0,3310.0
131,24,2290,367.5290484664503,180.0,11069.0,6593.38,495606.08,234.19,17603.49,85714,6442879,366,Westfield Glòries,Spain,62.0,35087.8,store_2481,18/02/2022,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,696884.82,256326.0,66.3,386.0,0.0,13474.0,8032.5
134,7,4814,415.93700079872207,300.0,6071.0,19772.22,737476.89,711.8,26549.17,177950,6637292,250,Westfield Vélizy 2,France,14.0,104280.1,store_145,09/11/2023,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,10000.0,24272.0,246.0,16032.0,8900.0,10991.0,1787.0
135,15,502,529.6559730660579,240.0,5400.0,8304.31,469284.77,294.96,16668.58,107956,6100702,366,Westfield Parly 2,France,12.0,108792.5,store_30,05/04/1991,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Jeans,297825.09,89146.0,186.0,53879.0,6836.0,11600.0,6372.0
136,16,1783,598.7261500034691,300.0,5279.0,43320.77,400842.77,1538.72,14237.58,563170,5210956,366,Westfield Les Quatre Temps,France,20.0,92213.8,store_15,12/10/2019,2099-01-01 00:00:00,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,745026.0,571036.0,759.0,70537.0,6472.0,13227.5,6289.0
137,23,5940,675.9954051427056,240.0,10178.0,2489.85,450453.0,88.44,15999.7,32368,5855889,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3549,05/10/2017,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Watches,516142.0,116617.0,66.0,-1766.0,0.0,3201.0,134911.0
139,28,5763,381.3735330813032,240.0,9966.0,31323.15,1183659.62,1112.57,42042.55,407201,15387575,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3555,27/11/2020,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,724492.0,111896.0,511.0,21337.0,0.0,185.0,19952.0
140,33,6819,467.35532462579846,240.0,2227.0,4159.73,683468.45,143.89,23641.99,45757,7518153,318,Westfield Mokotow,Poland,5.0,65330.2,store_1089,24/11/2023,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand Luxury,3813478.0,441990.0,82.69,5294.0,11481.0,16228.0,34932.0
142,13,7655,441.9209950477945,240.0,261.0,5284.3,248763.4,192.86,9078.96,52843,2487634,274,Westfield Donau Zentrum,Austria,0.0,108440.8,store_235,24/06/2021,2099-01-01 00:00:00,Gifts,Toys,Toys,957105.65,305267.0,124.0,12236.0,0.0,1695.0,2351.0
144,26,6391,375.069952063857,180.0,11095.0,61102.0,1045019.46,2170.29,37118.18,794326,13585253,366,Westfield La Maquinista,Spain,64.0,73650.1,store_15,01/01/2007,2099-01-01 00:00:00,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,9119214.0,78403.0,383.26,404716.0,0.0,12232.5,46189.0
145,26,6473,522.9722401549386,240.0,11331.0,5111.62,363584.38,181.56,12914.2,66451,4726597,366,Westfield La Maquinista,Spain,64.0,73650.1,store_2029,07/07/2023,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,1409857.05,87494.0,185.0,11471.0,11286.0,60313.0,12770.0
146,18,11127,1937.7932232841008,1800.0,9325.0,1673.75,419853.25,86.95,21810.56,6695,1679413,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3281,01/07/2020,2099-01-01 00:00:00,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",5125133.06,182310.0,105.0,276.0,4612.0,199640.0,36945.0
149,23,6086,640.3164304252346,420.0,10192.0,7085.08,754729.77,251.66,26807.34,92106,9811487,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_87,07/05/2018,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Sandwiches,797919.07,302693.0,94.0,31303.0,14578.0,6258.0,82.0
150,14,4991,384.2435090828533,180.0,4756.0,24226.85,1084219.31,860.52,38510.52,314949,14094851,366,Westfield La Part Dieu,France,17.0,141267.4,store_1451,09/09/1975,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,17432699.32,131027.0,340.0,85200.0,7034.0,12933.0,796.0
153,14,5179,583.1973399482767,180.0,5088.0,5803.0,460987.0,217.95,17314.07,46424,3687896,213,Westfield La Part Dieu,France,17.0,141267.4,store_1608,14/06/2024,2099-01-01 00:00:00,Home,Furniture & Interior Design,General home furniture,3157613.0,88000.0,178.0,28623.0,5198.0,22068.0,3610.0
156,33,6745,776.7326794515569,540.0,1914.0,222653.18,669877.0,7701.84,23171.85,2449185,7368647,318,Westfield Mokotow,Poland,5.0,65330.2,store_996,06/09/2000,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Hypermarkets,Hypermarkets,443737.0,103770.0,5125.06,20312.5,4678.0,35340.0,21867.5
157,10,4651,333.83415015811266,120.0,1379.0,14443.23,612538.85,513.01,21756.84,187762,7963005,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_749,03/12/2020,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,605866.9,52779.0,372.8,32334.0,3327.0,10276.0,3841.0
159,26,6374,402.41660767084494,300.0,11120.0,38818.62,641372.0,1378.8,22780.97,504642,8337836,366,Westfield La Maquinista,Spain,64.0,73650.1,store_3800,01/01/2007,2099-01-01 00:00:00,Culture & Media & Technology,Computer Products & Electronics games,"Video games, softwares",1177939.19,44919.0,258.05,33290.0,7044.0,9172.0,12770.0
162,15,612,1553.8397809956057,1440.0,5449.0,52818.92,141289.0,1876.08,5018.46,686646,1836757,366,Westfield Parly 2,France,12.0,108792.5,store_32,01/01/2007,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,3527103.36,1656244.0,732.67,17371.0,9798.0,11600.0,6372.0
166,16,1702,1121.661080631044,300.0,5290.0,38689.85,865780.54,1381.78,30920.73,502968,11255147,364,Westfield Les Quatre Temps,France,20.0,92213.8,store_199,29/06/2020,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,847594.0,186719.0,831.0,2709.0,5003.0,13227.5,6289.0
168,19,7105,375.57507015653175,180.0,515.0,13405.09,463895.18,503.26,17415.86,147456,5102847,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_177,03/06/2016,2099-01-01 00:00:00,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,1273092.0,79997.0,280.0,52775.0,0.0,6934.0,1693.0
171,33,6794,830.167115902965,360.0,2165.0,1153.45,617800.18,39.9,21370.45,12688,6795802,318,Westfield Mokotow,Poland,5.0,65330.2,store_770,11/12/2021,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,9981763.0,33150.0,48.3,20312.5,0.0,12005.0,21867.5
173,36,1135,255.71627552495332,180.0,7206.0,15552.75,695014.75,641.35,28660.4,62211,2780059,97,Westfield CentrO,Germany,35.0,139180.0,store_281,16/11/2018,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,21529258.0,93580.0,293.0,80597.0,7121.0,10222.0,212.0
