,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data
55,32,11576,189.23156981786644,120.0,12397.0,12657.2,602516.4,479.44,22822.59,63286,3012582,132
56,17,4441,4606.144889357218,4620.0,5801.0,24673.54,227525.69,881.2,8125.92,320756,2957834,364
57,7,11,306.15042751557894,180.0,5924.0,4208.37,303373.5,150.3,10834.77,33667,2426988,224
58,7,2,1641.8298743057585,600.0,5882.0,2965.88,873225.37,105.92,31186.62,23727,6985803,224
59,24,2273,1748.896551724138,360.0,11082.0,1573.43,451021.43,58.9,16883.16,11014,3157150,187
60,28,5761,622.510170341612,240.0,9986.0,41894.0,1171525.62,1488.04,41611.57,544622,15229833,366
61,30,7377,380.1957404560153,300.0,1783.0,43869.9,931394.5,1649.24,35014.83,438699,9313945,266
62,36,1252,212.2335205859347,120.0,7098.0,10420.67,889759.0,446.6,38132.53,31262,2669277,70
63,19,7091,438.2561530386096,240.0,520.0,3481.4,254604.7,130.88,9571.61,34814,2546047,266
64,26,6415,434.6714321443843,300.0,11253.0,25102.38,449113.38,898.98,16083.95,326331,5838474,363
65,36,1286,243.69906961822264,180.0,7291.0,9234.33,337693.0,395.76,14472.56,27703,1013079,70
66,10,4557,526.0703066566941,240.0,1150.0,2928.0,408955.13,109.97,15359.82,23424,3271641,213
67,10,4557,526.0703066566941,240.0,1150.0,6388.33,359549.33,299.45,16853.88,19165,1078648,64
68,10,4557,526.0703066566941,240.0,1481.0,2928.0,408955.13,109.97,15359.82,23424,3271641,213
69,10,4557,526.0703066566941,240.0,1481.0,6388.33,359549.33,299.45,16853.88,19165,1078648,64
70,33,6944,372.03335980937254,180.0,2045.0,1882.2,225137.5,64.68,7736.68,18822,2251375,291
71,7,4919,2392.789480092536,2100.0,6008.0,2218.25,867146.25,79.22,30969.51,17746,6937170,224
72,23,6043,1339.2857142857142,120.0,10264.0,2692.0,713134.2,99.7,26412.38,13460,3565671,135
73,23,5905,1188.775745811197,1020.0,10088.0,43239.38,221143.62,1535.83,7854.83,562112,2874867,366
74,12,2909,785.033019707166,240.0,4721.0,27613.62,1581813.92,980.81,56184.65,358977,20563581,366
75,28,5737,454.8995690599664,240.0,9858.0,4680.38,545494.46,166.24,19375.49,60845,7091428,366
76,33,6887,543.9282732348797,240.0,2191.0,28240.5,521288.3,970.46,17913.69,282405,5212883,291
77,12,2901,268.8380864765409,120.0,4566.0,5272.23,615717.38,187.27,21869.74,68539,8004326,366
78,13,7538,2560.8976157082748,2220.0,131.0,6383.33,289561.78,242.41,10996.02,57450,2606056,237
79,13,7603,378.8283954859001,300.0,5.0,25665.44,294645.11,923.96,10607.22,230989,2651806,250
80,26,6498,2487.5417719958073,2700.0,11356.0,2646.25,250337.75,121.67,11509.78,10585,1001351,87
81,26,6498,2487.5417719958073,2700.0,11356.0,7505.0,386851.17,272.91,14067.32,45030,2321107,165
82,26,6498,2487.5417719958073,2700.0,11305.0,2646.25,250337.75,121.67,11509.78,10585,1001351,87
83,26,6498,2487.5417719958073,2700.0,11305.0,7505.0,386851.17,272.91,14067.32,45030,2321107,165
84,18,11145,405.0373770491803,360.0,9376.0,15276.67,244249.0,916.6,14654.94,45830,732747,50
85,7,4882,536.127744510978,180.0,5967.0,2612.5,535105.88,93.3,19110.92,20900,4280847,224
86,12,2842,556.5153138924925,180.0,4709.0,3974.62,248166.08,141.17,8814.64,51670,3226159,366
87,17,4266,451.3657343186461,240.0,5843.0,7508.0,849036.08,266.68,30157.02,97604,11037469,366
88,17,4296,1109.2628356152957,540.0,5684.0,99820.85,1001295.77,3545.55,35565.15,1297671,13016845,366
89,17,4384,292.4856895056375,180.0,5663.0,3304.69,654392.0,117.38,23243.43,42961,8507096,366
90,25,6345,789.0786708619592,540.0,11538.0,95902.62,448208.69,3415.71,15963.6,1246734,5826713,365
91,12,2858,660.4109936098939,300.0,4554.0,24002.69,446033.92,864.36,16062.16,312035,5798441,361
92,16,1679,476.1151869042272,180.0,5237.0,11970.69,850184.31,425.19,30197.8,155619,11052396,366
93,28,5849,2065.307774110238,2160.0,10026.0,16339.77,559609.31,580.37,19876.83,212417,7274921,366
94,36,1083,279.96075866579463,120.0,7093.0,10757.33,190041.33,461.03,8144.63,32272,570124,70
95,7,4881,545.8660592255126,180.0,5948.0,5934.67,416408.0,254.34,17846.06,17804,1249224,70
96,12,2913,1800.7453855878634,420.0,4681.0,38763.77,1591657.62,1376.86,56534.29,503929,20691549,366
97,26,6492,594.9143859325242,360.0,11294.0,15558.77,577748.92,557.2,20690.73,202264,7510736,363
98,28,5805,406.997065022554,180.0,9892.0,18636.15,252108.69,661.94,8954.68,242270,3277413,366
99,33,6757,581.0478425088703,360.0,2062.0,6291.9,618640.5,216.22,21259.12,62919,6186405,291
100,26,6383,290.51145536358325,180.0,11096.0,40324.85,1032520.85,1444.14,36977.33,524223,13422771,363
101,19,7018,747.5894233880947,360.0,419.0,28931.8,526776.3,1087.66,19803.62,289318,5267763,266
102,23,6145,876.3955065380384,360.0,10283.0,17926.62,906442.38,636.74,32196.04,233046,11783751,366
103,13,7614,456.56050955414014,300.0,273.0,3189.44,1266955.56,114.82,45610.4,28705,11402600,250
104,13,7737,1746.7352567750977,1860.0,277.0,4948.78,343742.11,178.87,12424.41,44539,3093679,249
105,15,452,277.878699433775,180.0,5411.0,13672.15,207698.85,488.29,7417.82,177738,2700085,364
106,33,6762,455.6193747039318,180.0,2071.0,18648.4,695550.0,640.84,23902.06,186484,6955500,291
107,7,4875,421.5233000140786,240.0,5978.0,4710.13,447804.88,168.22,15993.03,37681,3582439,224
108,25,6274,822.9512024282045,300.0,11567.0,2574.54,195910.31,91.45,6958.56,33469,2546834,366
109,15,594,299.9548475038337,180.0,5643.0,9372.54,399913.69,336.58,14361.54,121843,5198878,362
110,15,594,299.9548475038337,180.0,5462.0,9372.54,399913.69,336.58,14361.54,121843,5198878,362
111,23,5910,540.2583097044284,300.0,10303.0,11861.92,255804.0,421.33,9085.93,154205,3325452,366
112,14,5205,1201.303304412036,1020.0,4905.0,5822.77,1633675.31,206.82,58026.72,75696,21237779,366
113,18,11273,239.53541726412388,180.0,9257.0,7790.67,393898.0,467.44,23633.88,23372,1181694,50
114,28,5715,329.6937543448831,180.0,9817.0,4611.92,429868.0,163.81,15268.54,59955,5588284,366
115,33,6814,401.6956238648436,300.0,2089.0,35694.71,551633.57,1365.37,21100.74,249863,3861435,183
116,33,6898,348.9113088140879,180.0,1934.0,4031.2,448301.6,138.53,15405.55,40312,4483016,291
117,10,4558,315.9921962095875,180.0,1209.0,3632.31,424691.08,129.02,15084.66,47220,5520984,366
118,23,6069,952.6019969582754,300.0,10120.0,11395.77,167472.69,404.77,5948.48,148145,2177145,366
119,36,1163,259.9491833030853,120.0,7321.0,6613.33,669813.33,283.43,28706.29,19840,2009440,70
120,14,4996,689.361504095309,300.0,4930.0,6232.31,1066958.62,221.37,37897.44,81020,13870462,366
121,23,6022,1289.7992692070422,960.0,10094.0,6754.36,341720.36,256.2,12961.81,74298,3758924,290
122,13,7638,347.010782875008,180.0,24.0,5732.33,284377.78,211.44,10489.34,51591,2559400,244
123,23,5926,2887.237773317841,3120.0,10085.0,2082.15,405311.15,73.96,14396.3,27068,5269045,366
124,12,2879,406.591186204494,240.0,4539.0,7583.31,551345.15,269.35,19583.3,98583,7167487,366
125,33,6930,4290.306451612903,3180.0,2224.0,1897.4,445672.4,65.2,15315.2,18974,4456724,291
126,19,7025,257.0173589148921,120.0,668.0,6491.1,526941.9,244.03,19809.85,64911,5269419,266
127,32,11633,450.5400981996727,240.0,12208.0,10995.8,1262338.0,416.51,47815.83,54979,6311690,132
128,10,4609,370.7757093680024,240.0,1230.0,16675.69,481396.77,592.31,17098.79,216784,6258158,366
129,32,10956,306.00088858172484,180.0,12382.0,17336.4,1262075.6,656.68,47805.89,86682,6310378,132
130,32,10966,480.5325565455791,240.0,12219.0,30786.2,1799026.8,1166.14,68144.95,153931,8995134,132
131,28,5669,611.094155752179,240.0,9811.0,20876.92,617316.08,741.53,21926.53,271400,8025109,366
132,30,7441,353.19128471060554,180.0,1851.0,7844.0,491286.5,294.89,18469.42,78440,4912865,266
133,18,11137,385.08620689655174,180.0,9300.0,1584.67,378249.33,95.08,22694.96,4754,1134748,50
134,25,6277,610.5298037183859,420.0,11536.0,43774.62,682562.69,1554.84,24244.03,569070,8873315,366
135,13,7698,358.4113858630834,240.0,254.0,10870.11,1281734.33,391.32,46142.44,97831,11535609,250
136,13,7703,413.4061855670103,120.0,330.0,6308.0,860157.67,233.63,31857.69,18924,2580473,81
137,30,7423,754.4937420139477,480.0,1764.0,27131.4,822058.4,1019.98,30904.45,271314,8220584,266
138,18,11182,1752.923076923077,1740.0,9299.0,260.67,378244.67,15.64,22694.68,782,1134734,50
139,23,6053,383.6325871220863,240.0,10103.0,4473.08,287572.38,158.88,10214.32,58150,3738441,366
140,30,7432,185.54166511176624,120.0,1911.0,8289.4,506937.2,383.77,23469.31,41447,2534686,108
141,10,4607,695.9315772084221,360.0,1455.0,38957.69,481592.23,1383.74,17105.73,506450,6260699,366
142,12,2922,891.500522200857,300.0,4688.0,26165.69,593753.31,929.38,21089.6,340154,7718793,366
143,30,7478,376.3352561927384,180.0,1727.0,3390.2,821859.7,127.45,30896.98,33902,8218597,266
144,25,6282,502.21203014724506,240.0,11556.0,53937.38,737803.62,1915.81,26206.14,701186,9591447,366
145,28,5668,305.54656806101224,180.0,9967.0,8362.23,654783.54,297.02,23257.34,108709,8512186,366
146,15,421,1896.352673060488,1680.0,5438.0,4287.69,95951.69,152.71,3417.46,55740,1247372,365
147,28,5706,531.8717277486911,240.0,9783.0,4545.69,545739.15,161.46,19384.18,59094,7094609,366
148,28,5707,1618.8368336025849,420.0,9895.0,3605.46,545730.38,128.06,19383.87,46871,7094495,366
149,30,7372,1263.350225119153,360.0,1658.0,16077.9,801753.2,604.43,30141.1,160779,8017532,266
150,13,7514,428.175639960734,240.0,217.0,14683.56,782482.56,528.61,28169.37,132152,7042343,250
151,25,6238,2130.832896019192,1680.0,11546.0,8544.0,585602.0,371.48,25460.96,17088,1171204,46
152,25,6238,2130.832896019192,1680.0,11546.0,20347.0,497540.43,818.56,20015.99,142429,3482783,174
153,25,6238,2130.832896019192,1680.0,11587.0,8544.0,585602.0,371.48,25460.96,17088,1171204,46
154,25,6238,2130.832896019192,1680.0,11587.0,20347.0,497540.43,818.56,20015.99,142429,3482783,174
155,10,4564,409.798538063826,180.0,1294.0,5559.85,369678.46,197.48,13130.66,72278,4805820,366
156,36,1217,1169.0723025583982,240.0,7144.0,27357.33,541701.33,1172.46,23215.77,82072,1625104,70
157,14,5017,307.5205684367988,180.0,4957.0,2627.77,461174.31,93.34,16380.51,34161,5995266,366
158,17,4271,320.9093389398,180.0,5829.0,11609.92,1503489.38,412.37,53402.63,150929,19545362,366
159,23,6102,272.713488859441,180.0,10134.0,6782.15,530123.46,240.9,18829.52,88168,6891605,366
160,26,6561,996.7269286166564,720.0,11179.0,150497.54,532938.38,5389.72,19085.95,1956468,6928199,363
161,32,11589,535.6789799183362,300.0,12388.0,47054.4,571963.2,1809.78,21998.58,235272,2859816,130
162,15,515,1795.1717222361494,600.0,5544.0,3266.31,329859.46,116.33,11748.42,42462,4288173,365
163,16,1629,1430.538225582058,720.0,5362.0,74347.54,1745342.69,2640.76,61993.05,966518,22689455,366
164,23,5968,386.2389906587408,240.0,10072.0,15670.0,453766.31,556.58,16117.38,203710,5898962,366
165,10,4538,401.3589340395597,180.0,1234.0,2095.46,481065.85,74.43,17087.04,27241,6253856,366
166,17,4392,409.8080826720797,180.0,5659.0,8866.92,770456.92,314.95,27365.96,115270,10015940,366
167,33,6916,376.7829498462517,120.0,1943.0,1441.5,199838.7,49.54,6867.31,14415,1998387,291
168,16,1871,348.437771435662,120.0,5338.0,3359.85,398141.92,119.34,14141.65,43678,5175845,366
169,24,2250,2383.187410863207,1860.0,10967.0,18780.46,174608.69,667.07,6201.95,244146,2269913,366
170,16,1641,456.972219082071,300.0,5217.0,24540.15,1470110.0,871.64,52217.02,319022,19111430,366
171,17,4431,914.7701243264678,540.0,5813.0,15407.15,444521.85,548.75,15832.28,200293,5778784,365
172,25,6288,281.48788782064736,120.0,11543.0,5019.77,683403.85,178.3,24273.91,65257,8884250,366
173,13,7671,655.0175406830682,480.0,311.0,14439.0,284222.89,528.26,10398.4,129951,2558006,246
174,10,4727,543.4675769388151,180.0,1207.0,81424.31,447922.69,2892.12,15909.82,1058516,5822995,366
175,19,7142,311.2952245188881,180.0,483.0,10428.3,510973.2,392.04,19209.52,104283,5109732,266
176,30,7380,414.0528087896509,180.0,1838.0,5887.0,639344.6,221.32,24035.51,58870,6393446,266
177,22,6629,613.4275994046353,240.0,4400.0,22333.64,1393349.82,787.4,49124.51,245670,15326848,312
178,25,6204,729.3899341283851,360.0,11417.0,11213.31,929883.77,398.29,33028.66,145773,12088489,366
179,33,6820,629.1108999592778,360.0,2101.0,4095.1,695550.6,140.73,23902.08,40951,6955506,291
180,33,6877,885.9053408597482,300.0,1976.0,1342.6,91714.4,46.14,3151.7,13426,917144,291
181,18,11242,1868.708133971292,1080.0,9423.0,478.33,163702.67,28.7,9822.16,1435,491108,50
182,26,6455,413.0352784261421,180.0,11299.0,16906.77,811662.92,605.48,29067.82,219788,10551618,363
183,32,11657,319.3436001009846,180.0,12335.0,3828.2,575332.0,145.01,21792.88,19141,2876660,132
184,15,571,435.78731343283584,180.0,5435.0,3246.46,352695.69,115.63,12561.76,42204,4585044,365
185,12,2929,187.6710340824281,120.0,4700.0,10456.71,1646476.14,408.92,64387.34,73197,11525333,179
186,14,5052,801.7243530705013,300.0,4997.0,8186.85,695391.38,290.79,24699.69,106429,9040088,366
187,18,11169,1407.7694235588972,300.0,9344.0,925.33,378236.67,55.52,22694.2,2776,1134710,50
188,23,5948,626.060893540067,240.0,10205.0,8987.15,255773.85,319.22,9084.86,116833,3325060,366
189,25,6211,754.3633227939063,420.0,11438.0,5628.0,965745.92,199.9,34302.45,73164,12554697,366
190,12,2866,573.2541087231352,420.0,4608.0,1869.85,921808.92,66.42,32741.85,24308,11983516,366
191,33,6766,335.99014181943966,120.0,2195.0,4380.2,228466.9,150.52,7851.1,43802,2284669,291
192,7,4920,2785.279531109107,3120.0,6019.0,9594.0,872153.25,342.64,31148.33,76752,6977226,224
193,17,4322,474.6949353477985,300.0,5734.0,12122.31,279339.46,430.57,9921.89,157590,3631413,366
194,32,11396,444.97025776602777,180.0,12359.0,6316.4,1262154.4,239.26,47808.88,31582,6310772,132
195,13,7542,902.1012188881524,660.0,48.0,85288.11,453170.89,3120.3,16579.42,767593,4078538,246
196,13,7631,781.5998388071731,420.0,260.0,7502.44,349434.78,270.09,12579.65,67522,3144913,250
197,26,6467,469.2201825059304,300.0,11163.0,7314.92,352417.08,261.97,12621.0,95094,4581422,363
198,32,11530,446.4941711686096,360.0,12167.0,84312.8,1631337.0,3267.94,63230.12,421564,8156685,129
199,33,6798,1212.7661381653454,960.0,1982.0,1365.9,228495.2,46.94,7852.07,13659,2284952,291
200,7,16,378.8405890711794,240.0,5956.0,5915.87,595852.13,211.28,21280.43,47327,4766817,224
201,18,11298,3816.4728495915424,2880.0,9390.0,20820.33,151784.33,1249.22,9107.06,62461,455353,50
202,32,11488,449.5030419256712,180.0,12153.0,54105.2,1796646.6,2049.44,68054.8,270526,8983233,132
203,33,6897,3082.4403215495313,1800.0,2025.0,44298.7,448318.7,1522.29,15406.14,442987,4483187,291
204,36,1202,831.4487887449011,420.0,7306.0,58524.0,965338.67,2508.17,41371.66,175572,2896016,70
205,19,7133,605.8277827676054,300.0,714.0,62484.5,630773.4,2349.04,23713.29,624845,6307734,266
206,13,7573,296.6708357021035,180.0,201.0,5431.22,332012.56,197.9,12097.62,48881,2988113,247
207,18,11164,675.8052549284116,540.0,9293.0,17591.33,358130.67,1055.48,21487.84,52774,1074392,50
208,13,7565,355.5007030151539,180.0,225.0,2973.0,289666.67,108.77,10597.56,26757,2607000,246
209,22,6719,359.0434692590745,180.0,4504.0,19267.0,520322.91,674.96,18227.87,211937,5723552,314
210,22,6654,653.1353424657534,360.0,4399.0,3433.09,507332.91,120.27,17772.81,37764,5580662,314
211,10,4581,923.791876667655,600.0,1388.0,1250.92,263880.69,44.43,9372.81,16262,3430449,366
212,13,7702,390.7401965981552,240.0,81.0,12617.0,884010.67,454.21,31824.38,113553,7956096,250
213,14,5225,2566.816992148178,2400.0,5027.0,6596.77,614729.15,234.31,21834.64,85758,7991479,366
214,24,2349,407.9398826979472,240.0,11076.0,2883.38,984039.38,102.42,34952.22,37484,12792512,366
215,36,1194,483.6755041921595,240.0,7329.0,16796.0,696200.67,719.83,29837.17,50388,2088602,70
216,24,2304,532.7969036463638,360.0,11008.0,5326.38,485908.08,189.19,17259.03,69243,6316805,366
217,28,5745,398.31705524990593,180.0,9824.0,23021.85,967205.85,817.72,34354.31,299284,12573676,366
218,14,5081,613.7678078497319,360.0,5044.0,12249.85,860289.46,435.1,30556.73,159248,11183763,366
219,30,7462,273.2046702099852,120.0,1898.0,3667.1,243627.0,137.86,9158.91,36671,2436270,266
220,15,602,420.42068577544217,180.0,5471.0,12170.85,349822.08,434.67,12493.65,158221,4547687,364
221,22,6648,631.4258994388822,240.0,4377.0,17975.14,1545751.57,613.79,52781.76,125826,10820261,205
222,33,6776,318.815035355415,180.0,1930.0,7947.3,662018.3,273.1,22749.77,79473,6620183,291
223,7,46,605.502994011976,360.0,5873.0,17926.38,642001.0,640.23,22928.61,143411,5136008,224
224,15,578,485.0978647686833,180.0,5590.0,2014.23,329957.69,71.74,11751.92,26185,4289450,365
225,26,6461,340.4115571980514,240.0,11317.0,2387.69,317370.23,85.51,11365.88,31040,4125813,363
226,23,5936,681.0022865492083,300.0,10312.0,63093.31,710971.38,2241.02,25253.08,820213,9242628,366
227,23,5936,681.0022865492083,300.0,10110.0,63093.31,710971.38,2241.02,25253.08,820213,9242628,366
228,10,4622,548.122146327209,360.0,1322.0,4531.38,453498.69,160.95,16107.88,58908,5895483,366
229,28,5692,1483.3880597014925,1320.0,9942.0,6061.92,665976.77,215.31,23654.91,78805,8657698,366
230,12,2991,853.6240816834766,480.0,4613.0,49716.31,601671.85,2738.61,33142.94,646312,7821734,236
231,14,5109,382.8689545423095,180.0,4831.0,20899.15,561078.54,742.32,19929.02,271689,7294021,366
232,30,7381,681.6071469793854,360.0,1893.0,19173.1,639345.9,720.79,24035.56,191731,6393459,266
233,13,7561,458.27134129276976,300.0,102.0,43604.22,574050.78,1576.06,20748.82,392438,5166457,249
234,25,6220,340.5944822161038,180.0,11447.0,7948.08,1188975.62,282.31,42231.37,103325,15456683,366
235,26,6553,984.3912524850896,300.0,11334.0,3188.69,523872.85,114.2,18761.29,41453,6810347,363
236,26,6554,507.36141360180807,240.0,11226.0,18404.0,626171.15,659.1,22424.86,239252,8140225,363
237,36,1147,222.6684015614053,120.0,7247.0,11097.67,845667.67,475.61,36242.9,33293,2537003,70
238,16,1767,523.9463188024963,240.0,5094.0,44694.0,1033524.77,1587.49,36709.9,581022,13435822,366
239,26,6552,332.8471125743273,240.0,11101.0,10253.69,449879.85,367.21,16111.4,133298,5848438,363
240,30,7444,272.8072291899028,120.0,1886.0,6995.7,491266.7,263.0,18468.67,69957,4912667,266
241,15,474,3170.6538168906923,3120.0,5466.0,14000.54,259133.08,500.02,9254.75,182007,3368730,364
242,23,5906,168.89932913443982,60.0,10093.0,9416.46,221109.92,334.46,7853.63,122414,2874429,366
243,25,6275,1350.6255166712592,1020.0,11563.0,6684.54,196100.0,237.43,6965.3,86899,2549300,366
244,26,6538,275.26755555555553,180.0,11123.0,12892.31,250489.46,461.71,8970.7,167600,3256363,363
245,10,4636,805.644220250395,480.0,1162.0,5999.69,176922.38,213.1,6284.13,77996,2299991,366
246,14,5012,725.464977289027,180.0,4950.0,980.69,184663.92,34.83,6559.1,12749,2400631,366
247,24,2243,2176.216403276041,1680.0,11078.0,9264.31,279649.38,329.06,9932.9,120436,3635442,366
248,30,7355,576.1187508032386,300.0,1661.0,5993.7,930797.4,225.33,34992.38,59937,9307974,266
249,17,4297,876.8729686743656,420.0,5658.0,7651.77,1001284.08,271.78,35564.73,99473,13016693,366
250,32,11438,337.5800156128025,240.0,12409.0,57029.4,1478593.4,2160.2,56007.33,285147,7392967,132
251,17,4312,538.4832195263693,420.0,5712.0,17813.08,894087.0,632.7,31757.19,231570,11623131,366
252,19,7086,386.87614319310165,240.0,677.0,2681.2,431691.0,100.8,16228.98,26812,4316910,266
253,24,2307,1596.7168742229378,960.0,11043.0,24845.85,172328.08,882.5,6120.94,322996,2240265,366
254,15,422,1325.8386340810175,300.0,5630.0,1825.46,382247.31,64.84,13577.09,23731,4969215,366
255,23,5942,457.2776718725406,180.0,10174.0,13453.0,455169.69,477.84,16167.23,174889,5917206,366
256,32,11467,2190.2486591906386,1320.0,12381.0,7204.4,1023249.4,272.89,38759.45,36022,5116247,132
257,16,1790,465.83380808985106,240.0,5123.0,6955.69,848204.08,247.74,30210.01,90424,11026653,365
258,22,6619,368.5663997791275,180.0,4396.0,5057.91,502309.73,177.75,17653.06,55637,5525407,313
259,26,6470,493.67642518507336,300.0,11133.0,24538.92,351993.46,878.8,12605.83,319006,4575915,363
260,30,7340,387.46659660711606,180.0,1848.0,4768.8,721965.2,179.28,27141.55,47688,7219652,266
261,10,4617,267.1882381296698,180.0,1472.0,9009.92,806862.62,320.02,28659.05,117129,10489214,366
262,10,4617,267.1882381296698,180.0,1276.0,9009.92,806862.62,320.02,28659.05,117129,10489214,366
263,15,569,967.070707070707,120.0,5477.0,2917.14,293430.0,122.28,12299.46,20420,2054010,167
