,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,mall_name,mall_country,mall_id,total_mall_area,store_name,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m
32,28,5813,1344.6012800553538,180.0,9839.0,7997.0,649110.85,284.05,23055.85,103961,8438441,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3598,12/11/2015,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,810185.0,,208.0,,4339.0,6958.0,,162302.0,,1089.0
33,28,5716,363.1970358927321,180.0,9911.0,11513.46,437103.85,408.95,15525.55,149675,5682350,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_74,12/11/2015,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,,168000.0,203.0,,27972.0,10818.0,,3245.0,,5759.0
34,7,9,2845.932990416035,1200.0,5957.0,27371.56,770472.22,985.38,27737.0,246344,6934250,250,Westfield Vélizy 2,France,14.0,104280.1,store_334,23/11/2013,2099-01-01 00:00:00,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,3069058.0,173460.0,201.0,,38225.0,3935.0,,,,859.0
35,26,6564,303.1216263787843,180.0,11132.0,10101.38,560961.38,358.79,19924.86,131318,7292498,366,Westfield La Maquinista,Spain,64.0,73650.1,store_495,31/07/2010,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,,909456.0,185.2,,47973.0,0.0,,,,7435.0
36,30,7335,319.7434098426381,180.0,1907.0,1689.0,327169.0,116.48,22563.38,3378,654338,29,Westfield Arkadia,Poland,6.0,77325.5,store_992,21/06/2024,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,,138570.0,43.0,,1350.0,10761.0,,,,1814.0
37,30,7335,319.7434098426381,180.0,1907.0,8952.5,747607.38,347.67,29033.3,71620,5980859,206,Westfield Arkadia,Poland,6.0,77325.5,store_992,21/06/2024,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,,138570.0,43.0,,1350.0,10761.0,,,,1814.0
38,30,7335,319.7434098426381,180.0,1810.0,1689.0,327169.0,116.48,22563.38,3378,654338,29,Westfield Arkadia,Poland,6.0,77325.5,store_958,21/02/2020,23/04/2024,Fashion apparel,Lingerie & Underwear,Women underwear,3667364.0,,0.0,,19513.0,0.0,8131.0,3136.0,,912.0
39,30,7335,319.7434098426381,180.0,1810.0,8952.5,747607.38,347.67,29033.3,71620,5980859,206,Westfield Arkadia,Poland,6.0,77325.5,store_958,21/02/2020,23/04/2024,Fashion apparel,Lingerie & Underwear,Women underwear,3667364.0,,0.0,,19513.0,0.0,8131.0,3136.0,,912.0
40,18,11300,1197.651423313421,720.0,9245.0,172002.5,709726.0,9052.76,37354.0,688010,2838904,76,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3250,19/06/2019,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,,,4221.0,,36109.0,0.0,,18637.0,,
41,23,6104,291.4712372350798,180.0,10253.0,3228.23,168873.92,114.66,5998.25,41967,2195361,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3774,27/11/2020,2099-01-01 00:00:00,Health & Beauty,Others,Vitamines and Sports Nutrition,2955256.0,,72.0,,,20080.0,,,9422.0,40994.0
42,7,70,475.773242348406,180.0,5901.0,12685.11,598774.22,456.66,21555.87,114166,5388968,250,Westfield Vélizy 2,France,14.0,104280.1,store_1465,01/01/1996,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,442244.0,,263.0,,39421.0,8044.0,,,,
43,10,4510,2052.02824570359,1860.0,1344.0,6856.38,533830.69,243.53,18961.2,89133,6939799,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_731,04/06/2019,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Crepes,,4167.0,79.3,,38489.0,6011.0,,142248.0,,
44,36,1078,358.33903143359777,240.0,7241.0,11910.25,207663.0,491.14,8563.42,47641,830652,97,Westfield CentrO,Germany,35.0,139180.0,store_217,21/08/2021,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,2946411.26,250392.0,344.0,,,1499.0,,,2733.0,
45,32,11563,2258.806529301579,2400.0,12212.0,12137.67,448127.0,458.03,16910.45,72826,2688762,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_1527,26/07/2013,2099-01-01 00:00:00,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,137148.0,527400.0,125.26,,7527.0,0.0,,,,
46,32,11361,1205.4142118552363,300.0,12101.0,10966.33,1232679.33,413.82,46516.2,65798,7396076,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_165,13/09/2011,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,,151619.0,237.11,,42009.0,0.0,,13470.0,,
47,36,1127,510.4177769539125,180.0,7177.0,23440.25,695132.0,966.61,28665.24,93761,2780528,97,Westfield CentrO,Germany,35.0,139180.0,store_913,22/12/2016,2099-01-01 00:00:00,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,349419.0,103139.0,260.0,,96287.0,0.0,,,,
48,36,13815,709.714049429053,360.0,7157.0,46303.75,792953.5,1909.43,32699.11,185215,3171814,97,Westfield CentrO,Germany,35.0,139180.0,store_2578,27/09/2012,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,1028841.0,3650122.0,2556.0,,,25207.0,,,,
49,19,7089,246.53572734289315,180.0,358.0,6090.36,49080.45,230.22,1855.27,66994,539885,291,Westfield Shopping City Süd,Austria,1.0,120306.9,store_72,17/03/1997,2099-01-01 00:00:00,Health & Beauty,Pharmacy,Pharmacy,414729.0,,181.0,,7545.0,0.0,,,,
50,30,7389,349.7413664224847,180.0,1713.0,3142.91,733692.64,117.99,27544.77,34572,8070619,293,Westfield Arkadia,Poland,6.0,77325.5,store_364,17/09/2014,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,807312.0,78732.0,43.0,,41317.0,8564.0,,,,
51,13,7674,989.1296848712764,360.0,82.0,29557.0,248471.2,1082.67,9101.51,295570,2484712,273,Westfield Donau Zentrum,Austria,0.0,108440.8,store_79,02/07/2012,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Supermarkets,Supermarkets,2114704.0,151119.0,11531.14,,7747.0,12380.0,,486.0,,265.0
52,16,1748,441.0039950406392,180.0,5153.0,31845.22,1291538.56,1224.82,49674.56,286607,11623847,234,Westfield Les Quatre Temps,France,20.0,92213.8,store_71,06/08/2008,02/09/2024,Fashion apparel,Women's Fashion,Women's Fashion,,130559.0,271.0,,963154.0,0.0,,,,
53,10,4586,330.3743590944209,180.0,1408.0,6723.77,782942.85,238.82,27809.45,87409,10178257,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_762,28/01/2022,2099-01-01 00:00:00,Gifts,Themed Gift,Themed gift,2460542.0,8164297.0,57.8,,,0.0,,26925.0,,92700.0
54,16,1732,349.5591991431161,180.0,5188.0,11304.08,394282.0,401.51,14004.55,146953,5125666,366,Westfield Les Quatre Temps,France,20.0,92213.8,store_1465,14/09/2013,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,,122964.0,254.0,,386.0,5879.0,,,341.0,
55,22,6611,539.9273770565294,300.0,4513.0,7386.42,464151.17,259.93,16333.77,88637,5569814,341,Westfield Euralille,France,26.0,58389.7,store_1367,29/03/2023,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,1298873.54,,101.0,,354641.0,8876.0,,,,53349.0
56,25,6345,789.9025093468697,540.0,11538.0,98698.69,448851.92,3505.69,15942.83,1283083,5835075,366,Westfield Parquesur,Spain,61.0,91858.1,store_436,05/10/2021,2099-01-01 00:00:00,Culture & Media & Technology,Electronics and household appliances,Multibrand electronics,7589446.05,236793.0,3199.0,,11153.0,13525.0,,,22191.0,
57,26,6532,2769.2412746585737,1680.0,11284.0,9966.85,252366.38,354.01,8963.83,129569,3280763,366,Westfield La Maquinista,Spain,64.0,73650.1,store_4128,29/05/2021,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Brasseries & Local Kitchen,1831041.0,1598075.0,541.0,,2198.0,3759.0,,,,87634.0
58,36,1146,220.27520479734432,180.0,7255.0,21315.5,891749.25,878.99,36773.16,85262,3566997,97,Westfield CentrO,Germany,35.0,139180.0,store_763,28/05/2022,2099-01-01 00:00:00,Home,Furniture & Interior Design,Tableware and kitchen tools,1749555.0,,176.0,,19039.0,12020.0,5337.0,23804.0,,620.0
59,36,1236,186.62226766518364,120.0,7242.0,17374.25,1256695.75,716.46,51822.51,69497,5026783,97,Westfield CentrO,Germany,35.0,139180.0,store_2607,07/10/2021,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,3308264.0,,51.0,,,4865.0,,,8843.0,
60,12,2891,364.8502585113648,180.0,4660.0,13857.77,249161.38,492.22,8849.99,180151,3239098,366,Westfield Forum Des Halles,France,19.0,74438.4,store_1465,10/08/2019,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,,1042893.0,297.0,,,0.0,,18921.0,,46866.0
62,7,14,1362.9223113077137,360.0,5961.0,2437.0,862449.56,87.38,30924.49,21933,7762046,251,Westfield Vélizy 2,France,14.0,104280.1,store_1848,03/09/2014,20/11/2023,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,3436699.0,,0.0,,25476.0,0.0,,14118.0,,
63,7,14,1362.9223113077137,360.0,6077.0,2437.0,862449.56,87.38,30924.49,21933,7762046,251,Westfield Vélizy 2,France,14.0,104280.1,store_2174,09/12/2023,2099-01-01 00:00:00,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,2289510.0,,81.0,-24369.0,27557.0,6363.0,,,,
64,23,5936,722.1232544896693,300.0,10312.0,63293.46,707119.15,2248.13,25116.25,822815,9192549,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_625,01/12/2023,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,5065342.0,315801.0,1228.0,,,0.0,,6124.0,6027.0,
65,23,5936,722.1232544896693,300.0,10110.0,63293.46,707119.15,2248.13,25116.25,822815,9192549,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_625,29/08/2013,30/11/2023,Fashion apparel,Family Fashion,Family Fashion,1062094.0,77271.0,0.0,,266609.0,0.0,,,,
66,33,6931,289.9478070774696,180.0,2228.0,4912.73,218253.82,169.94,7549.66,54040,2400792,318,Westfield Mokotow,Poland,5.0,65330.2,store_829,16/11/2023,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,58546.73,522573.0,279.1,,71457.0,0.0,,,,27072.0
67,23,5997,753.7750604294042,240.0,10169.0,4718.5,240476.5,186.87,9523.82,18874,961906,101,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3614,07/04/2017,29/02/2024,Fashion apparel,Men's Fashion,Men's Fashion,,76849.0,0.0,,23866.0,0.0,4587.0,,,
68,23,5997,753.7750604294042,240.0,10169.0,2579.0,185462.0,107.46,7727.58,5158,370924,48,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3614,07/04/2017,29/02/2024,Fashion apparel,Men's Fashion,Men's Fashion,,76849.0,0.0,,23866.0,0.0,4587.0,,,
69,13,7599,375.72710951526034,240.0,215.0,14078.8,1271862.1,508.26,45915.6,140788,12718621,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_201,08/02/2020,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,7077068.0,64229.0,103.0,,19092.0,14385.0,,16110.0,,1922.0
70,13,7573,292.98644915142745,180.0,201.0,5497.9,337200.4,200.65,12306.58,54979,3372004,274,Westfield Donau Zentrum,Austria,0.0,108440.8,store_84,01/08/2019,2099-01-01 00:00:00,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,,621461.0,55.92,,63002.0,4548.0,6383.0,122890.0,,3716.0
71,19,7167,287.07418727424283,240.0,746.0,2817.2,327245.4,107.53,12490.28,14086,1636227,131,Westfield Shopping City Süd,Austria,1.0,120306.9,store_297,04/09/2024,2099-01-01 00:00:00,Health & Beauty,Others,Vitamines and Sports Nutrition,4019199.0,110843.0,131.0,-24284.0,511.0,0.0,,,,307.0
72,19,7167,287.07418727424283,240.0,746.0,1414.0,74491.0,282.8,14898.2,1414,74491,5,Westfield Shopping City Süd,Austria,1.0,120306.9,store_297,04/09/2024,2099-01-01 00:00:00,Health & Beauty,Others,Vitamines and Sports Nutrition,4019199.0,110843.0,131.0,-24284.0,511.0,0.0,,,,307.0
73,19,7167,287.07418727424283,240.0,507.0,2817.2,327245.4,107.53,12490.28,14086,1636227,131,Westfield Shopping City Süd,Austria,1.0,120306.9,store_202,26/02/2016,30/03/2024,Bags & Footwear & Accessories,Accessories,"Ties, Scarfs, Hats, Belts, Gloves ...",26093397.0,,0.0,,4203.0,0.0,8886.0,,,16461.0
74,19,7167,287.07418727424283,240.0,507.0,1414.0,74491.0,282.8,14898.2,1414,74491,5,Westfield Shopping City Süd,Austria,1.0,120306.9,store_202,26/02/2016,30/03/2024,Bags & Footwear & Accessories,Accessories,"Ties, Scarfs, Hats, Belts, Gloves ...",26093397.0,,0.0,,4203.0,0.0,8886.0,,,16461.0
75,28,5762,637.1062742586809,480.0,9906.0,44173.46,1182844.0,1569.0,42013.58,574255,15376972,366,Westfield Mall Of Scandinavia,Sweden,59.0,91385.5,store_3474,12/11/2015,2099-01-01 00:00:00,Home,"DIY, gardening",Do It Yourself and others materials,405378.0,237261.0,1428.0,,163840.0,0.0,,,,
76,33,6741,606.3849445963867,360.0,2152.0,76698.18,420008.55,2653.08,14528.6,843680,4620094,318,Westfield Mokotow,Poland,5.0,65330.2,store_884,23/04/2021,2099-01-01 00:00:00,Health & Beauty,Parapharmacy,Parapharmacy,1952903.0,138630.0,646.31,-19780.0,5407.0,0.0,,514.0,,20698.0
77,12,2909,794.129293259506,240.0,4721.0,26669.92,1569777.77,947.29,55757.13,346709,20407111,366,Westfield Forum Des Halles,France,19.0,74438.4,store_1956,20/09/2023,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,894516.0,323134.0,90.0,,,6374.0,,35140.0,,
78,22,6657,1149.1514662062436,960.0,4398.0,7881.08,571966.58,278.16,20187.06,94573,6863599,340,Westfield Euralille,France,26.0,58389.7,store_1899,01/07/2011,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Italian - Fast Meal,348750.0,90215.0,94.0,,5580.0,0.0,3264.0,,12432.0,
79,13,7619,2302.212333121424,2280.0,185.0,3390.5,444046.3,122.4,16030.55,33905,4440463,277,Westfield Donau Zentrum,Austria,0.0,108440.8,store_175,20/02/2019,2099-01-01 00:00:00,Health & Beauty,Hair & Body,"Beauty salons, UVA and nail salons",,223628.0,63.24,,497.0,36100.0,,,,
80,13,7676,232.5922620944611,120.0,344.0,2885.44,783129.0,107.76,29245.48,25969,7048161,241,Westfield Donau Zentrum,Austria,0.0,108440.8,store_291,17/05/2024,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,1173570.0,1499492.0,236.0,,22578.0,0.0,,5223.0,,
81,23,5989,278.011330979555,180.0,10289.0,5247.0,256645.85,186.37,9115.84,68211,3336396,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3680,27/09/2022,2099-01-01 00:00:00,Bags & Footwear & Accessories,Leath. Bags/Luggage,Leather bags and accessories,973320.0,1943746.0,117.0,,506.0,0.0,,6906.0,,
82,19,7067,330.20843202273807,180.0,375.0,3830.64,519012.64,143.81,19485.12,42137,5709139,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_306,01/01/2006,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Gold Classic Jewellery & Watches,,365092.0,56.0,,23201.0,7113.0,,20001.0,,
83,19,7266,2145.7734573119187,1260.0,380.0,1036.82,535337.18,38.92,20097.98,11405,5888709,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_135,16/11/1999,2099-01-01 00:00:00,Services,Imaterial services,Travel Agency,,,35.0,,122676.0,0.0,10776.0,558.0,,
84,15,567,491.8020639124084,180.0,5494.0,14618.69,605279.0,519.24,21498.98,190043,7868627,366,Westfield Parly 2,France,12.0,108792.5,store_951,01/10/2015,2099-01-01 00:00:00,Fashion apparel,Lingerie & Underwear,Women underwear,,1693304.0,150.67,,,4287.0,,,,
85,22,6646,727.0472792149866,180.0,4369.0,12392.25,959987.17,436.09,33782.54,148707,11519846,341,Westfield Euralille,France,26.0,58389.7,store_1480,21/09/1994,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,1081791.0,103820.0,176.0,,,1914.0,4138.0,,,
